id,symbol,signal_type,entry_zone_method,exec_price,exit_price,pnl_pct,pnl_usd,exit_reason,score_pct,opened_at,closed_at,open_fear_greed,open_regime,open_rsi_1h,open_adx_1h
1,BTCUSDT,LONG_SPOT,bos_retest_4h,74085.54426,72842.42296,-1.678,-100.0,sl_hit,73.3,2026-03-17T04:40:02.698401+00:00,2026-03-17T12:00:00+00:00,,,,
10,SOLUSDT,SHORT_SPOT,fibonacci_382,90.204875,89.248352,1.0604,21.21,tp1_hit,48.3,2026-03-21T13:20:36.337971+00:00,2026-03-21T23:48:03.085479+00:00,12,BEAR_TREND,,
11,ETHUSDT,SHORT_SPOT,fibonacci_382,2162.8280449999997,2132.527581,1.401,28.02,tp1_hit,45.3,2026-03-21T14:13:15.692126+00:00,2026-03-21T23:48:38.240790+00:00,12,BEAR_TREND,,
9,BTCUSDT,SHORT_SPOT,fibonacci_382,70599.64252000001,69471.062897,1.5986,31.97,tp1_hit,52.3,2026-03-20T23:05:22.640967+00:00,2026-03-21T23:51:55.144492+00:00,11,BEAR_TREND,,
8,ADAUSDT,SHORT_FUTURES,fibonacci_382,0.2664667,0.256328,3.8048,76.1,tp1_hit,61.6,2026-03-20T22:32:03.783273+00:00,2026-03-22T00:01:38.341645+00:00,11,BEAR_TREND,,
3,XRPUSDT,SHORT_SPOT,fibonacci_382,1.4402795000000002,1.4059,2.387,47.74,tp1_hit,55.2,2026-03-19T19:01:50.564747+00:00,2026-03-22T08:00:00+00:00,23,BEAR_TREND,,
5,SOLUSDT,SHORT_FUTURES,fibonacci_382,88.47574,86.407907,2.3372,46.74,tp1_hit,64.5,2026-03-19T19:02:21.075513+00:00,2026-03-23T08:20:47.579764+00:00,23,BEAR_TREND,,
4,SOLUSDT,SHORT_FUTURES,bos_retest_1h,88.445755,86.228418,2.507,50.14,tp1_hit,68.0,2026-03-19T19:02:10.472976+00:00,2026-03-23T08:39:03.681819+00:00,23,BEAR_TREND,,
2,BTCUSDT,SHORT_FUTURES,bos_retest_1h,70339.822495,68779.27245,2.2186,44.37,tp1_hit,68.0,2026-03-19T09:22:34.391625+00:00,2026-03-23T09:00:00+00:00,23,BEAR_TREND,,
6,BTCUSDT,SHORT_FUTURES,bos_retest_1h,70162.79105500001,68336.782646,2.6025,52.05,tp1_hit,69.2,2026-03-19T19:06:54.728250+00:00,2026-03-23T09:00:00+00:00,23,BEAR_TREND,,
7,ETHUSDT,SHORT_FUTURES,bos_retest_1h,2148.96498,2071.184955,3.6194,72.39,tp1_hit,68.0,2026-03-19T19:11:23.953031+00:00,2026-03-23T09:00:00+00:00,23,BEAR_TREND,,
12,ETHUSDT,SHORT_FUTURES,fibonacci_382,2087.03596,2039.673352,2.2694,45.39,tp1_hit,59.9,2026-03-22T13:04:43.579744+00:00,2026-03-23T09:00:00+00:00,10,BEAR_TREND,,
14,BTCUSDT,SHORT_SPOT,fibonacci_382,68461.32221500001,69424.037571,-1.4062,-29.15,stop_loss,61.0,2026-03-23T08:21:49.324505+00:00,2026-03-23T11:05:43.436585+00:00,8,BEAR_TREND,,
13,ETHUSDT,SHORT_FUTURES,fibonacci_382,2056.9809950000003,2093.352173,-1.7682,-35.74,stop_loss,59.0,2026-03-22T22:34:01.903568+00:00,2026-03-23T11:06:14.203801+00:00,10,BEAR_TREND,,
16,ADAUSDT,SHORT_SPOT,bos_retest_4h,0.26126930000000004,0.266633,-2.053,-42.5,stop_loss,64.0,2026-03-23T15:53:46.815808+00:00,2026-03-24T08:11:38.887152+00:00,8,BEAR_TREND,,
18,ADAUSDT,SHORT_SPOT,fibonacci_382,0.2624687,0.267083,-1.7582,-36.25,stop_loss,64.5,2026-03-24T11:03:00.913700+00:00,2026-03-25T00:00:09.507775+00:00,11,BEAR_TREND,,
17,ADAUSDT,SHORT_FUTURES,fibonacci_382,0.26316835,0.269435,-2.3811,-49.29,stop_loss,74.5,2026-03-23T19:06:38.294103+00:00,2026-03-25T05:08:09.680129+00:00,8,BEAR_TREND,,
19,ADAUSDT,SHORT_SPOT,fibonacci_382,0.26736625,0.271536,-1.5595,-32.16,stop_loss,51.0,2026-03-25T00:17:19.987476+00:00,2026-03-25T07:13:33.264457+00:00,11,BEAR_TREND,,
20,XRPUSDT,SHORT_SPOT,fibonacci_382,1.4244874,1.381791,2.1008,42.98,tp2_hit,53.5,2026-03-25T07:39:46.655118+00:00,2026-03-26T08:42:52.458628+00:00,14,BEAR_TREND,,
21,ETHUSDT,SHORT_SPOT,fibonacci_382,2178.5102,2105.048848,2.8565,58.44,tp2_hit,52.5,2026-03-25T08:48:45.795974+00:00,2026-03-26T09:31:39.260544+00:00,14,BEAR_TREND,,
